                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.0919,                 1.2957,                 1.4857,                0.87388,                0.68485,                0.74713,                0.46764,                 1.2649,                 1.0559,                  1.504,                0.00109,                0.00109,                0.00109
                    120,                 1.0772,                 1.2803,                   1.48,                0.87911,                0.68788,                0.74695,                0.46909,                 1.2635,                 1.0587,                 1.5025,              0.0010138,              0.0010138,              0.0010138
                    121,                 1.0803,                 1.1716,                 1.4782,                0.87517,                0.68485,                0.74648,                0.46794,                 1.2624,                 1.0635,                 1.5032,             0.00093769,             0.00093769,             0.00093769
                    122,                 1.0721,                 1.1501,                 1.4761,                0.87699,                0.66975,                0.74358,                0.46716,                 1.2633,                 1.0653,                 1.5042,             0.00086154,             0.00086154,             0.00086154
                    123,                  1.062,                 1.1315,                 1.4671,                0.87878,                0.67879,                0.74397,                0.46785,                 1.2622,                 1.0623,                 1.5039,             0.00078538,             0.00078538,             0.00078538
                    124,                 1.0599,                 1.1416,                 1.4594,                0.88654,                0.68666,                 0.7482,                0.46878,                  1.263,                 1.0619,                  1.506,             0.00070923,             0.00070923,             0.00070923
                    125,                 1.0509,                   1.12,                 1.4568,                0.88297,                 0.6859,                0.74803,                0.46968,                  1.263,                 1.0584,                 1.5069,             0.00063308,             0.00063308,             0.00063308
                    126,                 1.0398,                 1.1038,                 1.4486,                0.87984,                0.68787,                0.75171,                 0.4716,                 1.2626,                  1.056,                 1.5076,             0.00055692,             0.00055692,             0.00055692
                    127,                 1.0436,                 1.1109,                 1.4561,                0.87639,                0.68749,                0.75558,                 0.4718,                 1.2581,                 1.0498,                 1.5014,             0.00048077,             0.00048077,             0.00048077
                    128,                 1.0306,                 1.0943,                 1.4436,                0.87272,                0.68485,                0.75443,                  0.475,                 1.2613,                 1.0468,                 1.5068,             0.00040462,             0.00040462,             0.00040462
                    129,                  1.035,                 1.0836,                 1.4507,                0.87306,                0.68778,                0.75591,                0.47554,                 1.2609,                 1.0407,                 1.5064,             0.00032846,             0.00032846,             0.00032846
                    130,                 1.0263,                 1.0878,                 1.4349,                0.86935,                0.68559,                0.75243,                0.47537,                 1.2564,                 1.0367,                 1.5004,             0.00025231,             0.00025231,             0.00025231
