                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.2194,                 1.4863,                 1.6484,                0.89448,                0.63563,                0.72054,                 0.4642,                 1.3757,                 1.1485,                 1.7708,             0.00038432,             0.00038432,             0.00038432
                    104,                 1.2165,                 1.4665,                 1.6369,                0.88773,                0.64024,                 0.7203,                0.46638,                  1.358,                 1.1291,                 1.7584,             0.00036848,             0.00036848,             0.00036848
                    105,                 1.1891,                 1.4326,                 1.6171,                0.84377,                0.65992,                0.72613,                 0.4641,                 1.3664,                 1.1264,                 1.7591,             0.00035264,             0.00035264,             0.00035264
                    106,                 1.1924,                 1.4312,                 1.6238,                 0.9196,                 0.6483,                0.72754,                0.46417,                 1.3573,                 1.1272,                 1.7547,              0.0003368,              0.0003368,              0.0003368
                    107,                 1.1841,                 1.4587,                 1.6184,                0.90924,                0.63968,                0.72464,                0.46465,                  1.351,                 1.1372,                 1.7515,             0.00032096,             0.00032096,             0.00032096
                    108,                 1.1869,                  1.445,                 1.6276,                0.90267,                0.63834,                0.71751,                 0.4692,                 1.3469,                 1.1467,                 1.7493,             0.00030512,             0.00030512,             0.00030512
                    109,                 1.1826,                 1.4466,                 1.6153,                0.90427,                0.64372,                0.72017,                0.46452,                 1.3655,                 1.1303,                 1.7529,             0.00028928,             0.00028928,             0.00028928
                    110,                  1.195,                 1.4611,                 1.6205,                0.89234,                0.63755,                0.71692,                 0.4629,                 1.3763,                  1.122,                 1.7527,             0.00027344,             0.00027344,             0.00027344
                    111,                 1.1868,                 1.4368,                 1.6131,                0.89912,                0.63563,                0.72409,                 0.4681,                 1.3766,                 1.1125,                 1.7535,              0.0002576,              0.0002576,              0.0002576
                    112,                 1.1834,                 1.4323,                 1.6118,                0.89815,                0.65182,                0.72677,                0.46608,                  1.378,                 1.1098,                 1.7634,             0.00024176,             0.00024176,             0.00024176
                    113,                 1.1732,                 1.4265,                 1.6073,                0.90709,                0.64777,                0.72937,                0.46981,                 1.3787,                 1.1058,                 1.7606,             0.00022592,             0.00022592,             0.00022592
                    114,                 1.1788,                 1.4164,                 1.6148,                0.92071,                0.65816,                0.73471,                0.47071,                 1.3771,                 1.0978,                 1.7622,             0.00021008,             0.00021008,             0.00021008
                    115,                  1.193,                 1.3712,                 1.6335,                0.90934,                0.64976,                0.72932,                0.47373,                 1.3745,                  1.084,                 1.7613,             0.00019424,             0.00019424,             0.00019424
                    116,                 1.1624,                 1.3043,                 1.6066,                0.89956,                0.65266,                0.73605,                0.46935,                 1.3724,                 1.0871,                 1.7601,              0.0001784,              0.0001784,              0.0001784
                    117,                 1.1488,                 1.2976,                 1.6016,                0.89185,                0.65587,                0.73526,                0.47349,                 1.3623,                 1.0863,                  1.745,             0.00016256,             0.00016256,             0.00016256
                    118,                 1.1673,                 1.2984,                 1.6091,                0.89562,                0.66006,                0.73769,                0.47255,                 1.3612,                 1.0716,                 1.7481,             0.00014672,             0.00014672,             0.00014672
                    119,                 1.1482,                  1.297,                 1.6016,                0.91821,                0.65182,                0.73883,                0.47587,                 1.3643,                 1.0678,                 1.7504,             0.00013088,             0.00013088,             0.00013088
                    120,                 1.1537,                 1.2991,                 1.6013,                 0.9114,                0.66397,                0.73945,                0.47928,                 1.3676,                 1.0779,                 1.7466,             0.00011504,             0.00011504,             0.00011504
                    121,                 1.1446,                  1.277,                  1.584,                0.90757,                0.66397,                0.73971,                 0.4776,                 1.3689,                 1.0753,                 1.7519,               9.92e-05,               9.92e-05,               9.92e-05
                    122,                 1.1346,                 1.2834,                   1.59,                0.90484,                0.66397,                0.74062,                0.47648,                 1.3666,                 1.0748,                 1.7523,              8.336e-05,              8.336e-05,              8.336e-05
                    123,                 1.1523,                 1.2779,                 1.5985,                0.87796,                0.67206,                0.74039,                0.47577,                 1.3575,                 1.0635,                 1.7442,              6.752e-05,              6.752e-05,              6.752e-05
                    124,                 1.1343,                 1.2833,                  1.579,                0.90962,                0.65182,                0.74054,                0.47863,                 1.3527,                 1.0626,                 1.7411,              5.168e-05,              5.168e-05,              5.168e-05
